"replication","truth_id","truth_structure","alpha","k_deviation","quadrature_points","rpe_dev","integrated_squared_error","integrated_squared_deviation","basis_rank","centred_deviation_max_abs"
25,"coordinate_a90","coordinate",0.9,15,4001,0.00392884144473024,0.000129085666323618,8.3627481127788,15,4.85722573273506e-17
25,"cluster_a50","cluster",0.5,15,4001,0.00378965005224239,0.000129083310117379,8.98818242043154,15,1.31006316905768e-16
25,"cluster_a90","cluster",0.9,15,4001,0.00360255247010122,0.000129081628637404,9.94589354539851,15,1.35447209004269e-16
26,"coordinate_a50","coordinate",0.5,15,4001,0.00401816091469996,0.000129087946248212,7.99523147102294,15,4.14251966063262e-17
26,"coordinate_a90","coordinate",0.9,15,4001,0.00398531950141009,0.000129086844120818,8.12747598179901,15,5.0489126768305e-17
26,"cluster_a50","cluster",0.5,15,4001,0.00370460395976034,0.00012908281827771,9.40556449188381,15,1.38222766565832e-16
26,"cluster_a90","cluster",0.9,15,4001,0.00358752740094079,0.00012908153026947,10.029369959689,15,1.62092561595273e-16
27,"coordinate_a50","coordinate",0.5,15,4001,0.00395426519948837,0.000129083763981422,8.25543638794868,15,4.27435864480685e-17
27,"coordinate_a90","coordinate",0.9,15,4001,0.00394626223127145,0.000129084928738164,8.28902896789925,15,3.96904731303493e-17
27,"cluster_a50","cluster",0.5,15,4001,0.00379613676233232,0.000129084994054354,8.957608114307,15,1.14352971536391e-16
27,"cluster_a90","cluster",0.9,15,4001,0.00360366512960277,0.000129081965424799,9.9397786841736,15,1.50990331349021e-16
28,"coordinate_a50","coordinate",0.5,15,4001,0.00401015813893742,0.00012908681492214,8.02710394536953,15,4.32986979603811e-17
28,"coordinate_a90","coordinate",0.9,15,4001,0.00396279635513599,0.000129086453292041,8.22010109584056,15,4.08006961549745e-17
28,"cluster_a50","cluster",0.5,15,4001,0.00372921408801442,0.000129082460049035,9.28180844126234,15,9.43689570931383e-17
28,"cluster_a90","cluster",0.9,15,4001,0.00359196139531999,0.000129081458623735,10.0046187495647,15,1.55431223447522e-16
29,"coordinate_a50","coordinate",0.5,15,4001,0.00387031211843696,0.000129083026095086,8.61741797873137,15,5.10702591327572e-17
29,"coordinate_a90","coordinate",0.9,15,4001,0.00390738865722654,0.000129084648943274,8.45476177204246,15,4.53109771925142e-17
29,"cluster_a50","cluster",0.5,15,4001,0.00371293851364929,0.000129083790043228,9.36345642133449,15,9.82547376793264e-17
29,"cluster_a90","cluster",0.9,15,4001,0.00358903726693294,0.000129081724622574,10.0209483455791,15,1.28785870856518e-16
30,"coordinate_a50","coordinate",0.5,15,4001,0.00395467722866953,0.000129087320619936,8.25394366002928,15,4.71844785465692e-17
30,"coordinate_a90","coordinate",0.9,15,4001,0.00394725255159531,0.000129086368517903,8.28496265263444,15,3.66373598126302e-17
30,"cluster_a50","cluster",0.5,15,4001,0.00377411647552331,0.000129082197604814,9.06224402259292,15,8.77076189453874e-17
30,"cluster_a90","cluster",0.9,15,4001,0.00359986973737635,0.000129081406134891,9.96070586583079,15,1.53210777398272e-16
31,"coordinate_a50","coordinate",0.5,15,4001,0.00392446175531392,0.000129086730382563,8.38149322820633,15,4.76008121808036e-17
31,"coordinate_a90","coordinate",0.9,15,4001,0.00393836860181604,0.000129085986408979,8.322357677566,15,4.10782519111308e-17
