"replication","truth_id","truth_structure","alpha","sigma","overall_signal_ms","deviation_signal_ms","overall_signal_rms","deviation_signal_rms","snr_overall","snr_dev"
19,"coordinate_a50","coordinate",0.5,0.5,0.489740801172717,0.335390801172717,0.699814833490058,0.579129347531894,1.95896320469087,1.34156320469087
19,"coordinate_a90","coordinate",0.9,0.2,0.488685392197458,0.334335392197458,0.699060363772298,0.578217426404167,12.2171348049364,8.35838480493645
19,"coordinate_a90","coordinate",0.9,0.5,0.488685392197458,0.334335392197458,0.699060363772298,0.578217426404167,1.95474156878983,1.33734156878983
19,"cluster_a50","cluster",0.5,0.2,0.520795451867976,0.366445451867976,0.721661590960733,0.605347381152323,13.0198862966994,9.16113629669939
19,"cluster_a50","cluster",0.5,0.5,0.520795451867976,0.366445451867976,0.721661590960733,0.605347381152323,2.0831818074719,1.4657818074719
19,"cluster_a90","cluster",0.9,0.2,0.552170756937934,0.397820756937934,0.743081931510876,0.630730336148448,13.8042689234483,9.94551892344835
19,"cluster_a90","cluster",0.9,0.5,0.552170756937934,0.397820756937934,0.743081931510876,0.630730336148448,2.20868302775174,1.59128302775174
20,"coordinate_a50","coordinate",0.5,0.2,0.501066769246984,0.346716769246984,0.70786069904112,0.588826603718772,12.5266692311746,8.66791923117459
20,"coordinate_a50","coordinate",0.5,0.5,0.501066769246984,0.346716769246984,0.70786069904112,0.588826603718772,2.00426707698794,1.38686707698794
20,"coordinate_a90","coordinate",0.9,0.2,0.495417964572133,0.341067964572133,0.703859335785307,0.584010243550688,12.3854491143033,8.52669911430333
20,"coordinate_a90","coordinate",0.9,0.5,0.495417964572133,0.341067964572133,0.703859335785307,0.584010243550688,1.98167185828853,1.36427185828853
20,"cluster_a50","cluster",0.5,0.2,0.520254959304703,0.365904959304703,0.721287015899151,0.604900784678531,13.0063739826176,9.14762398261756
20,"cluster_a50","cluster",0.5,0.5,0.520254959304703,0.365904959304703,0.721287015899151,0.604900784678531,2.08101983721881,1.46361983721881
20,"cluster_a90","cluster",0.9,0.2,0.552062658425279,0.39771265842528,0.743009191346432,0.630644637196955,13.801566460632,9.94281646063199
20,"cluster_a90","cluster",0.9,0.5,0.552062658425279,0.39771265842528,0.743009191346432,0.630644637196955,2.20825063370112,1.59085063370112
21,"coordinate_a50","coordinate",0.5,0.2,0.469882200068434,0.315532200068434,0.685479540225989,0.561722529429285,11.7470550017108,7.88830500171084
21,"coordinate_a50","coordinate",0.5,0.5,0.469882200068434,0.315532200068434,0.685479540225989,0.561722529429285,1.87952880027373,1.26212880027373
21,"coordinate_a90","coordinate",0.9,0.2,0.479904031825137,0.325554031825137,0.692751060500911,0.570573423693337,11.9976007956284,8.13885079562842
21,"coordinate_a90","coordinate",0.9,0.5,0.479904031825137,0.325554031825137,0.692751060500911,0.570573423693337,1.91961612730055,1.30221612730055
21,"cluster_a50","cluster",0.5,0.2,0.528634658817781,0.374284658817781,0.727072664056201,0.611788083259049,13.2158664704445,9.35711647044453
21,"cluster_a50","cluster",0.5,0.5,0.528634658817781,0.374284658817781,0.727072664056201,0.611788083259049,2.11453863527113,1.49713863527113
21,"cluster_a90","cluster",0.9,0.2,0.553738598327895,0.399388598327895,0.744136142334113,0.631971991727399,13.8434649581974,9.98471495819738
21,"cluster_a90","cluster",0.9,0.5,0.553738598327895,0.399388598327895,0.744136142334113,0.631971991727399,2.21495439331158,1.59755439331158
22,"coordinate_a50","coordinate",0.5,0.2,0.482339034494239,0.327989034494239,0.69450632430111,0.572703269149251,12.058475862356,8.19972586235597
22,"coordinate_a50","coordinate",0.5,0.5,0.482339034494239,0.327989034494239,0.69450632430111,0.572703269149251,1.92935613797696,1.31195613797696
22,"coordinate_a90","coordinate",0.9,0.2,0.482053582430492,0.327703582430492,0.694300786713145,0.572454000274688,12.0513395607623,8.1925895607623
22,"coordinate_a90","coordinate",0.9,0.5,0.482053582430492,0.327703582430492,0.694300786713145,0.572454000274688,1.92821432972197,1.31081432972197
22,"cluster_a50","cluster",0.5,0.2,0.519603956941914,0.365253956941914,0.720835596333806,0.604362438394308,12.9900989235478,9.13134892354785
22,"cluster_a50","cluster",0.5,0.5,0.519603956941914,0.365253956941914,0.720835596333806,0.604362438394308,2.07841582776766,1.46101582776766
22,"cluster_a90","cluster",0.9,0.2,0.551932457952722,0.397582457952722,0.742921569179898,0.630541400665112,13.798311448818,9.93956144881804
22,"cluster_a90","cluster",0.9,0.5,0.551932457952722,0.397582457952722,0.742921569179898,0.630541400665112,2.20772983181089,1.59032983181089
23,"coordinate_a50","coordinate",0.5,0.2,0.485623402640901,0.331273402640901,0.696866847138606,0.575563552217217,12.1405850660225,8.28183506602253
23,"coordinate_a50","coordinate",0.5,0.5,0.485623402640901,0.331273402640901,0.696866847138606,0.575563552217217,1.9424936105636,1.3250936105636
23,"coordinate_a90","coordinate",0.9,0.2,0.482405954105539,0.328055954105539,0.694554500457336,0.572761690500979,12.0601488526385,8.20139885263848
23,"coordinate_a90","coordinate",0.9,0.5,0.482405954105539,0.328055954105539,0.694554500457336,0.572761690500979,1.92962381642216,1.31222381642216
23,"cluster_a50","cluster",0.5,0.2,0.525841619119196,0.371491619119196,0.725149377107363,0.609501123148429,13.1460404779799,9.28729047797991
